date,code,open,high,low,close,volume,amount,adjustflag
2015-10-12,sz.000001,8.4872267200,8.8124671600,8.4485076200,8.6963098600,84966515,950602304.0000,2
2015-10-13,sz.000001,8.6730784000,8.7195413200,8.5878963800,8.6188716600,35979819,401600928.0000,2
2015-10-14,sz.000001,8.5491772800,8.6343593000,8.4717390800,8.5027143600,41898065,462963472.0000,2
2015-10-15,sz.000001,8.4794829000,8.6498469400,8.4717390800,8.6498469400,48590050,539103664.0000,2
2015-10-16,sz.000001,8.6808222200,8.7505166000,8.6421031200,8.6963098600,57000145,640488896.0000,2
2015-10-19,sz.000001,8.7272851400,8.7892357000,8.6343593000,8.7195413200,72337153,814910976.0000,2
2015-10-20,sz.000001,8.6730784000,8.8124671600,8.6653345800,8.7660042400,71516328,807642384.0000,2
2015-10-21,sz.000001,8.7427727800,9.0989885000,8.6575907600,8.6885660400,133262904,1523591984.0000,2
2015-10-22,sz.000001,8.7117975000,8.8279548000,8.6575907600,8.7737480600,82280573,928960032.0000,2
2015-10-23,sz.000001,8.8202109800,8.9286244600,8.7814918800,8.8821615400,93742511,1073981536.0000,2
2015-10-26,sz.000001,8.9828312000,9.1454514200,8.8589300800,8.9208806400,108591754,1260872032.0000,2
2015-10-27,sz.000001,8.9053930000,9.0138064800,8.7814918800,8.8899053600,58043637,664648832.0000,2
2015-10-28,sz.000001,8.8744177200,8.8899053600,8.7117975000,8.7272851400,54481117,619790800.0000,2
2015-10-29,sz.000001,8.7505166000,8.7969795200,8.7117975000,8.7272851400,31670368,357830448.0000,2
2015-10-30,sz.000001,8.7505166000,8.8434424400,8.7272851400,8.7969795200,53593072,607980992.0000,2
2015-11-02,sz.000001,8.7272851400,8.7660042400,8.5956402000,8.6266154800,48443581,544000192.0000,2
2015-11-03,sz.000001,8.6343593000,8.6808222200,8.5259458200,8.5569211000,39126518,434818768.0000,2
2015-11-04,sz.000001,8.5801525600,9.0602694000,8.5569211000,9.0525255800,130724419,1493255536.0000,2
2015-11-05,sz.000001,8.9828312000,9.7339817400,8.9441121000,9.3467907400,229218980,2780266752.0000,2
2015-11-06,sz.000001,9.3080716400,9.6100806200,9.2306334400,9.5945929800,146319495,1781331280.0000,2
2015-11-09,sz.000001,9.6797750000,10.3612311600,9.6487997200,10.0205030800,241388779,3137641552.0000,2
2015-11-10,sz.000001,9.9120896000,10.1211727400,9.7649570200,9.8733705000,112502763,1438707536.0000,2
2015-11-11,sz.000001,9.8346514000,9.8966019600,9.5868491600,9.7184941000,102173507,1280174416.0000,2
2015-11-12,sz.000001,9.7572132000,9.7959323000,9.5094109600,9.6023368000,67113962,833753296.0000,2
2015-11-13,sz.000001,9.4629480400,9.6642873600,9.4397165800,9.4784356800,58755504,722252992.0000,2
2015-11-16,sz.000001,9.3932536600,9.5945929800,9.3622783800,9.5558738800,55984871,685977376.0000,2
2015-11-17,sz.000001,9.6100806200,9.8346514000,9.5713615200,9.6797750000,104648656,1315319792.0000,2
2015-11-18,sz.000001,9.6487997200,9.8346514000,9.5326424200,9.6178244400,79370476,991513840.0000,2
2015-11-19,sz.000001,9.6023368000,9.6875188200,9.5481300600,9.6797750000,47112067,585570976.0000,2
2015-11-20,sz.000001,9.6797750000,9.7494693800,9.6178244400,9.7184941000,59803634,747487168.0000,2
2015-11-23,sz.000001,9.7184941000,9.7572132000,9.5868491600,9.6410559000,60797531,760493344.0000,2
2015-11-24,sz.000001,9.6100806200,9.6410559000,9.4164851200,9.5094109600,66421478,812675936.0000,2
2015-11-25,sz.000001,9.4552042200,9.5791053400,9.4242289400,9.5403862400,51346272,629507056.0000,2
2015-11-26,sz.000001,9.5713615200,9.5868491600,9.4474604000,9.4706918600,55221015,679692128.0000,2
2015-11-27,sz.000001,9.4319727600,9.4474604000,8.9286244600,9.0835008600,72802594,867702432.0000,2
2015-11-30,sz.000001,9.0757570400,9.1919143400,8.9053930000,9.0912446800,65849389,770221392.0000,2
2015-12-01,sz.000001,9.0602694000,9.1841705200,8.9131368200,9.0989885000,68025390,793118208.0000,2
2015-12-02,sz.000001,9.0602694000,9.7881884800,9.0292941200,9.6875188200,161576086,1978750512.0000,2
2015-12-03,sz.000001,9.5945929800,9.8733705000,9.4861795000,9.6410559000,142597678,1786008976.0000,2
2015-12-04,sz.000001,9.5326424200,9.5868491600,9.3545345600,9.3855098400,76453245,934906576.0000,2
2015-12-07,sz.000001,9.4319727600,9.4861795000,9.3235592800,9.4087413000,40279265,488370704.0000,2
2015-12-08,sz.000001,9.3467907400,9.3622783800,9.2151458000,9.2616087200,50310179,602568624.0000,2
2015-12-09,sz.000001,9.2306334400,9.3855098400,9.2151458000,9.2848401800,42938435,515596480.0000,2
2015-12-10,sz.000001,9.2538649000,9.4009974800,9.2228896200,9.2616087200,41760358,502326080.0000,2
